Normal_Question,Imposter_Question
كم كأس مويه تشرب في الأسبوع؟,اختر رقم من 1 إلى 150
وش كان حلمك وانت صغير؟,وش الوظيفة اللي تكرهها؟
كم يوم تقدر تجلس بدون ما تاخذ شاور؟,اختر رقم من 1 إلى 31
كم طفل تتوقع تقدر تهزم في مضاربة؟,اختر رقم من 1 إلى 100
في أي عمر ودك تجيب أول ولد لك؟,في أي عمر ودك تتقاعد؟
كم شخص تتوقع يحضر زواجك؟,اختر رقم من 1 إلى 1000
كم يوم تقدر تعيش لو دخلت السجن؟,اختر رقم من 1 إلى 365
أصعب لعبة تنافسية لعبتها في حياتك؟,وش لعبة ممكن تلعبها مع عيالك؟
في أي عمر استلمت أول مصروف لك؟,اختر رقم من 1 إلى 30
كم مرة تاخذ شاور في الأسبوع؟,اختر رقم من 1 إلى 20
لو تقدر تكلم الحيوانات، وش تقول لهم؟,وش أطرف نكتة تعرفها؟
وش حيوان تتوقع تقدر تهزمه في مضاربة؟,وش حيوان نادر ودك تربيه؟
أي شركة ودك تصير مديرها؟,أي شركة تحس الناس يعطونها أكبر من حجمها؟
كم مرة سافرت في حياتك؟,اختر رقم من 1 إلى 100
أي مشهور تتوقع تقدر تهزمه في مضاربة؟,مين المشهور المفضل عندك؟
مين أكثر مشهور تعجبك شكله؟,مين المغني المفضل عندك؟
أي مسلسل أو فلم مستحيل تشوفه مع أهلك؟,أي مسلسل أو فلم ممكن تشوفه مع عيالك؟
أسوأ سنة من التاريخ ممكن تعيشها؟,أي سنة من التاريخ وِدك تعيشها؟
في حالة الزومبي صار حقيقة، وش بتختار حيوان مرافق؟,وش حيوانك المفضل؟
وش في هواية ماحد يعرفها عنك؟,وش أكثر هواية مملة قد سمعت عنها؟
أسوأ هدية ممكن تجيك؟,وش الهدية اللي ممكن تهديها لأعز أصحابك؟
كم يوم تقدر تجلس بدون إنترنت؟,اختر رقم من 1 إلى 365
لو جاء عليك جوع الساعة 2 بالليل، من أي مطعم تطلب؟,وش أسوأ مطعم مستحيل تروح له؟
وش درجة الحرارة اللي تناسبك؟,وش أبرد درجة حرارة جربتها؟
وش نوع الأكل المفضل عندك؟,وش آخر شي أكلته؟
وش عطلتك الحلم؟,وش سفرتك الجاية؟
أكبر خوف عندك؟,وش شي ما تحبه؟
وش فلمك المفضل؟,وش آخر فلم شفته؟
وش مهارة ودك تتقنها السنة الجاية؟,وش هدف شخصي حاطه لنفسك؟
وش أفضل طريقة تقضي فيها الويكند الطويل؟,وش وجهة سياحية مشهورة ودك تزورها؟
وش الشي اللي دايم تحمله معك؟,وش شي صغير يعطيك شعور بالسعادة؟
وش نوع الموسيقى اللي تحبها وقت التمرين؟,وش الأغنية اللي دايم تعطيك طاقة؟
وش كتاب أو فلم غير نظرتك للحياة؟,وش قصة أو حكاية أثرت فيك كثير؟
وش أغلى ممتلكاتك عندك؟,وش الشي اللي تنقذه أول لو شب حريق؟
وش الصوت اللي يخليك تهدى على طول؟,وش المكان أو الجو اللي تحس فيه براحة؟
وش نصيحة ممكن تعطيها لنفسك يوم كنت أصغر؟,وش درس تعلمته بالطريقة الصعبة؟
وش طريقتك المفضلة تعبر فيها عن إبداعك؟,وش مشروع دايم نفسك تبدأ فيه؟
وش النشاط الخارجي اللي تحبه؟,وش منظر طبيعي تحسه جميل؟
وش نوع الجو المفضل عندك؟,وش نوع الجو اللي تكرهه؟
وش أكلة ممكن تاكلها يومياً؟,وش وجبة دايم تشبعك؟
وش موهبة غريبة عندك؟,وش مهارة الناس يستغربون إنك تعرفها؟
وش مسلسل قاعد تشوفه هالفترة؟,وش عالم خيالي ودك تزوره؟
وش المكان اللي تحس نفسك فيه بالراحة أكثر؟,وش مكان تحس إنه دايم يعطيك شعور انتماء؟
وش هدفك اللي قاعد تشتغل عليه برا الدراسة أو الشغل؟,وش إنجاز شخصي فخور فيه؟
وش التطبيق اللي مستحيل تستغني عنه؟,وش جهاز أو تقنية سهلت حياتك؟
وش مقولة أو حكمة دايم ترجع لها؟,وش نصيحة أو حكمة ما تنساها؟
وش اللعبة اللي كنت تحبها وأنت صغير؟,وش نشاط قديم يرجع لك ذكريات؟
لو تقدر تقابل شخصية من التاريخ، مين تختار؟,مين شخصية من الماضي تلهمك؟
وش موقف طيب شفته أو سويته؟,وش تعامل إيجابي فرحك؟
